year,month,url,name,flavor_comment,country,location,producer,farm,washing_station,elevation,process,variety,latitude,longitude
2025,12,https://lightupcoffee.com/blogs/magazine/las-colinas?_pos=1&_sid=31e4d687d&_ss=r,Las Colinas,赤りんごの果実感をフローラルな印象が包み、ソフトクッキーの甘さがじんわりと膨らむ。余韻には紅茶の華やかさと共にマカダミアナッツの香りが広がる。,Costa Rica,Tarrazu,"Ricardo Hernandez, Elsa Sanchez",Las Colinas,,"1,700-1,800 m",Honey,Catuai,,
2025,9,https://lightupcoffee.com/blogs/magazine/familia-tocto-peru,Familia Tosto,ふくよかな果実感と柔らかい甘さが心地よい コーヒー。火の入った赤りんごや白桃の印 象にソフトクッキーが香り、フローラルな余 韻が穏やかに続く。,Peru,El Poevenir,Tocto Family,"Los Mangos, Gema De La Montana El Coco, El Pozo, El Balsas",,"1,600 m",Washed,"Caturra, Bourbon",,
2025,6,https://lightupcoffee.com/blogs/magazine/fazenda-um-brazil?_pos=1&_sid=864ef54bb&_ss=r,Fazenda Um,杏や赤りんごの果実感がピチピチとしてお り、カカオのフローラルな香りが穏やか。 余韻にはミルクチョコレートの印象が心地よ く長く続く。,Brazil,Sul De Minas,Stefano Um,Fazenda Um,,"1,000-1,200 m",Natural Boia,Yellow Bourbon,,
2025,10,https://lightupcoffee.com/blogs/magazine/santa-clara-brazil,Santa Clara,赤りんごの果実感をミルクチョコの甘さが優 しく支え、カシューナッツが香る。ココアを 思わせる余韻がじんわりと続く。,Brazil,Carmo De Minas,Moacir Dias Pereira,Santa Clara,,"950-1,050 m",Natural,Yellow Topazio,-22.12222,-45.12917
2025,2,https://lightupcoffee.com/blogs/magazine/fazenda-rio-brilhante,Fazenda Rio Brilhante,赤りんごの果実感を上質なミルクチョコの 印象が包み込み、密度感のある口当たりと 共にカカオのフローラルな余韻が心地良く 伸びていく。,Brazil,"Coromandel, Cerrado Miniero",Inacio Urban,Fazenda Rio Brilhante,,"950-1,100m",Natural,Arara,-18.47333,-47.20028
2025,1,https://lightupcoffee.com/blogs/magazine/la-perla-peru?_pos=1&_sid=cb2d87acb&_ss=r,La Perla,プラムや黄桃、シロップ漬けのりんごを思わ せる果実感と甘さがクリーミーな口当たりで 膨らむ。余韻には果実の甘さとキャラメルの 香りがじんわりと続く。,Peru,Amazonas,Norcafe Cooperative,"La Naranja, El Higueron, La Palta Cerro Azul, El Romerillo, El Paraiso La Lima",,1600-1800m,Washed,"Bourbon, Catuai, Pache",-11.82297,-77.10755
2025,8,https://lightupcoffee.com/blogs/magazine/fatubessi-estate-east-timor?_pos=1&_sid=0d8d0996f&_ss=r,Fatubessi,洋梨の穏やかな果実感にアメリカンチェリーが 顔を出す。シロップを思わせる口当たりでハー バルな印象が優しく膨らみ、余韻まで続く。,Timor-Leste,Ermera,Small Holders,Fatubessi Estate,,"1,400-1,600 m",Fully Washed,Typica,-8.75222,125.39694
2025,11,https://lightupcoffee.com/blogs/magazine/el-cedro-peru,El Cedro,ベルーらしい立体感と精製由来の味わいが 心地よいコーヒー。赤ブドウの果実感にブ ラックベリージャムの印象が高い透明度で 感じ、余韻には純ココアが香る。,Peru,"Santa Rosa, Jaen",Jose Alexander Gonzales,El Cedro,,"1,850 m",Natural,Caturra,-5.70729,-78.80785
2025,7,https://lightupcoffee.com/blogs/magazine/acacia-hills,Acacia Hills,りんごやオレンジの果実感にオレンジピールの 爽やかさが顔を出す。コロコロとした質感とき び砂糖の甘さが心地良く、余韻には紅茶が香る。,Tanzania,Oldeani,Leon Christianakis,Acacia Hills,,"1,750-1,950 m",Washed,Kent,-3.35,35.55
2025,7,https://lightupcoffee.com/blogs/magazine/acacia-hills,Acacia Hills,"香りと口当たりの分離感が面白いコーヒー。

オレンジや青リンゴの果実感が丸く、ダージ リンの香りが余韻まで優しく続く。",Tanzania,Oldeani,Leon Christianakis,Acacia Hills,,"1,750-1,950 m",Washed,Sl28,-3.35,35.55
2025,6,https://lightupcoffee.com/blogs/magazine/iloma-tanzania?_pos=1&_sid=96d7a09df&_ss=r,Iloma,透明度の高い果実感と繊細な甘さが魅力的 なコーヒー。アメリカンチェリーの果実感を オレンジの印象が包み、きび砂糖を思わせ る甘さが穏やかに膨らむ。余韻にはフロー ラルな香りがじんわりと続く。,Tanzania,"Songwe, Mbozi",Iloma Amcos,,,"1,870 m",Fully Washed,"N39, Kp423",-2.97579,31.96802
2025,8,https://lightupcoffee.com/blogs/magazine/nyagishiru-burundi,Nyagishiru,熟度の高い果実感と柔らかい精製由来の甘さ が心地よいコーヒー。赤ブドウとオレンジの酸 が軽やかで、エアインチョコの柔らかい甘さが ふんわりと続く。,Burundi,Muyinga,Smallholders,,Nyagishiru Ws,"1,500-1,700 m",Natural,Bourbon,-2.8451,30.3414
2025,3,https://lightupcoffee.com/blogs/magazine/kilimbi-rwanda?_pos=1&_sid=d76548fe1&_ss=r,Kilimbi,ブラックベリーやグレープの果実感が心地よく、 飲み進めていくとオレンジの明るさへと移り変 わる。トロピカルフルーツの印象も顔を出し、 これらの果実感が余韻まで長く続く。,Rwanda,"Nyamasheke, Western Province",Smallholders,,Kilimbi Ws,"1,650-1,850 m",Natural,Bourbon,-2.3396,29.0856
2025,7,https://lightupcoffee.com/blogs/magazine/shyira-rwanda,Shyira,バレンシアオレンジや八朔を思わせる フレッシュで香り高い柑橘の酸の印象 と三温糖の甘さが上品。余韻には紅茶 の華やかさが柔らかく伸びていく。,Rwanda,"Nyabihu, Western Province",Smallholders,,Shyira Ws,"1,850-2,300 m",Fully Washed,Bourbon,-1.78333,29.58333
2025,5,https://lightupcoffee.com/blogs/magazine/shyira-rwanda,Shyira,バレンシアオレンジや八朔を思わせるフレッシュで香り高い柑橘の酸の印象 と三温糖の甘さが上品。余韻には紅茶 の華やかさが柔らかく伸びていく。,Rwanda,"Nyabihu, Western Province",Smallholders,,Shyira Ws,"1,850-2,300 m",Fully Washed,Bourbon,-1.78333,29.58333
2025,8,https://lightupcoffee.com/blogs/magazine/ruli-rwanda?_pos=1&_sid=eabc6d9b8&_ss=r,Ruli,小夏の果実感にチェリーの印象が香り、爽 やかさを生んでいる。丸い口当たりで紅茶 を思わせる余韻がゆっくりと消えていく。,Rwanda,Gakenke,Smallholders,,Ruli Ws,"1,800-2,100 m",Washed,Bourbon,-1.6671,29.7788
2025,3,https://lightupcoffee.com/blogs/magazine/guama-kenya?_pos=1&_sid=0dcfc5e0f&_ss=r,Guama,明るいフルーツ感と透明度の高い甘さがケニアらしい コーヒー。ネーブルオレンジやベリーの果実感にシ ロップを思わせる甘さと質感が心地よい。余韻には カシスが香り、じんわりと消えていく。,Kenya,Kirinyaga,Baragwi Cooperative,,Guama Factory,1620m,Washed,"Sl28, Sl34, Batian",-0.5,37.33333
2025,1,https://lightupcoffee.com/blogs/magazine/guama-kenya?_pos=1&_sid=0dcfc5e0f&_ss=r,Guama,明るいフルーツ感と透明度の高い甘さがケニアらしい コーヒー。ネーブルオレンジやベリーの果実感にシ ロップを思わせる甘さと質感が心地よい。余韻には カシスが香り、じんわりと消えていく。,Kenya,Kirinyaga,Baragwi Cooperative,,Guama Factory,1620m,Washed,"Sl28, Sl34, Batian",-0.5,37.33333
2025,6,https://lightupcoffee.com/blogs/magazine/karimikui-kenya?_pos=1&_sid=5790099a4&_ss=r,Karimikui,明るく柔らかな果実感が心地よいコーヒー レッドカラントやアプリコットの果実感が穏 やかで、ブラウンシュガーの甘さが心地よい 余韻にはピーチティーがふんわりと香る。,Kenya,Kirinyaga,600 Smallholders,,Karimikui Factory,"1,600-1,800 m",Washed,"Sl-28, Sl-34, Batian, Ruiru 11",-0.5,37.33333
2025,12,https://lightupcoffee.com/blogs/magazine/gathaithi-kenya?_pos=1&_sid=f7a41f869&_ss=r,Gathaithi Kenya Gataitei Kenia Keniarashiihure-Ba-Tohou Minoarukou Dang Ta,ケニアらしいフレーバーと厚みのある口当たりが素晴らしいコーヒー。オレンジやアプリコットの果実感にチェリーが顔を出し、蜂蜜を思わせる甘さが余韻まで続く。,Kenya,Nyeri,1656 Smallholders,,Gathaithi Ws,"1,720 m",Washed,"Sl-28, Sl-34, Batian, Ruiru11",-0.42013,36.94759
2025,11,https://lightupcoffee.com/blogs/magazine/magarissa-refisa-ethiopia,Magarissa Refisa,表情の移ろいが丁寧なコーヒー。黄桃やリン ゴの果実感とキャンディーを思わせる甘さが 丸い口当たりで膨らむ。余韻には紅茶を思わ せる香りと蜂蜜の印象が緩やかに続く。,Ethiopia,"Nensebo, West Arsi",389 Smallholders,,Refisa Ws,"1,900-2,100 m",Washed,"Welisho, Kurume",6.48333,39.1
2025,1,https://lightupcoffee.com/blogs/magazine/shantawene-washed,Shantawene,フローラルさと心地よいスパイスの印象が調和 するコーヒー。ピーチやレモネードの甘さを伴 った果実感が艶やかな質感で膨らみ、余韻に はレモングラスが香る。,Ethiopia,"Bensa, Sidama",Smallholders,,Shantawene Ws,"1,900 2,100m",Washed,Heirloom,6.5,38.83333
2025,10,https://lightupcoffee.com/blogs/magazine/halata-ethiopia,Halata,白ブドウの果実感にアメリカンチェリーや白 桃が香る。クリーミーな質感やフローラルな 香りが奥行きを与え、立体感のある味わい。,Ethiopia,"Bensa, Sidama",Nigussie Gemeda Muge,,Halata Ds,"2,100 2,260 m",Natural,74110,6.5,38.83333
2025,10,https://lightupcoffee.com/blogs/magazine/las-perlitas-caturra-colombia,Las Perlitas,"複雑な香りと透明感が素晴らしいコーヒー。

白ブドウやオレンジの果実感にミックスベ リーが顔を出す。厚みのある口当たりでキャ ラメルの甘さが膨らみ、余韻まで続く。",Colombia,"Urrao, Antioquia",Smallholders,,,"1,600-2,000 m",Washed,Pink Bourbon,6.55687,-75.82806
2025,9,https://lightupcoffee.com/blogs/magazine/las-perlitas-caturra-colombia,Las Perlitas,オレンジのコンポートや黄桃の甘さを伴った 果実感がシロップを思わせる口当たりで膨 らみ、紅茶の香りが鼻に抜ける。余韻には キャラメルの甘さがじんわりと続く。,Colombia,"Urrao, Antioquia",Smallholders,,,"1,600-2,000 m",Washed,"Red Caturra, Orange Caturra",6.55687,-75.82806
2025,5,https://lightupcoffee.com/blogs/magazine/kelloo-danche-ethiopia?_pos=1&_sid=28600c46d&_ss=r,Kelloo Danche,桃やアプリコットの甘さを伴う果実感や、 マーマレードの印象が艶やかな口当たりで 広がる。余韻にはレモンティーの甘さと白 い花の香りが長く続いていく。,Ethiopia,"Gedeo, Gedeb",400 Smallholders,,Danche Ws,"2,000 2,300m",Washed,Heirloom,9.5725,43.18139
2025,2,https://lightupcoffee.com/blogs/magazine/kelloo-danche-ethiopia?_pos=1&_sid=329533390&_ss=r,Kelloo Danche,桃やアプリコットの甘さを伴う果実感や、 マーマレードの印象が艶やかな口当たりで 広がる。余韻にはレモンティーの甘さと白 い花の香りが長く続いていく。,Ethiopia,"Gedeo, Gedeb",400 Smallholders,,Danche Ws,"2,000-2,300m",Washed,Heirloom,9.5725,43.18139
2025,12,https://lightupcoffee.com/blogs/magazine/lalia-costarica?srsltid=AfmBOopEBoj-VPW-RB4UInaYnisYJkZHXw7AzVWdY40XRfX2yvTZHyhD,La Lia,"ティーブレイクを思い浮かべる様なコーヒー。

赤りんごやアプリコットを練り込んだクッキー を思わせる果実味と甘さが穏やかで、紅茶の 余韻が甘さと共に長く伸びる。",Costa Rica,"San Lorenzo, Leon Cortes, Tarrazu",Luis Alberto Monge,Pie San 2000,,"2,000 m",White Honey,Catuai,9.64072,-84.03104
2025,9,https://lightupcoffee.com/blogs/magazine/lalia-costarica?srsltid=AfmBOopEBoj-VPW-RB4UInaYnisYJkZHXw7AzVWdY40XRfX2yvTZHyhD,La Lia,"ティーブレイクを思い浮かべる様なコーヒー。

赤りんごやアプリコットを練り込んだクッキー を思わせる果実味と甘さが穏やかで、紅茶の 余韻が甘さと共に長く伸びる。",Costa Rica,"San Lorenzo, Leon Cortes, Tarrazu",Luis Alberto Monge,Pie San 2000,,"2,000 m",White Honey,Catuai,9.64072,-84.03104
2025,3,https://lightupcoffee.com/blogs/magazine/lasdelicias-nicaragua?srsltid=AfmBOoqjx7Wgpl-JepTgaoKBw8t9gZWmLIIxw5vLu1TvHkLyU4Rmzt_H,Las Delicias,赤りんごの果実感やミルクチョコレートの 甘さがクリーミーな口当たりと共に膨らん でいく。余韻にはカカオを思わせる香りが 優しく続く。,Nicaragua,"Lipululu, Jinotega",Eleane Mierisch,Las Delicias,,"1,260-1,450 m",Natural,Javanica,13.09103,-86.00234
2025,5,https://lightupcoffee.com/blogs/magazine/acopaca,Acopaca,"焼きりんごやドライアプリコットの 果実感に、蜂蜜の甘さがふくよか。

マカダミアナッツを思わせる香りが 口の中に膨らみ余韻まで長く続く。",El Salvador,Chalatenango,Acopaca Cooperative,,,"1,350 1,600 m",Washed,Pacas,14.04138,-88.93951
2025,11,https://lightupcoffee.com/blogs/magazine/las-trojas-guatemala?_pos=1&_sid=4bbc700de&_ss=r,Las Trojas,赤りんごの果実感をタルトの優しい甘さが支 え、ナッツペーストの印象がクリーミーな質 感で膨らむ。余韻にはヌガーを思わせる香 りがじんわりと続く。,Guatemala,Huehuetenango,Ever Mendoza,Las Trojas,,"1,700-1,800m",Washed,Bourbon,15.32097,-91.47001
2025,2,https://lightupcoffee.com/blogs/magazine/las-trojas-guatemala?_pos=1&_sid=4bbc700de&_ss=r,Las Trojas,赤りんごの果実感をタルトの優しい甘さが支 え、ナッツペーストの印象がクリーミーな質 感で膨らむ。余韻にはヌガーを思わせる香 りがじんわりと続く。,Guatemala,Huehuetenango,Ever Mendoza,Las Trojas,,"1,700-1,800m",Washed,Bourbon,15.32097,-91.47001